#RIC,Date[L],Time[L],Type,Qualifiers,Open,High,Low,Last,Volume,Open Interest,Settle,Data Source
ALVG.DE,03-FEB-2002,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,04-FEB-2002,,End Of Day,,258.15,258.95,250.7,250.8,843726,,,Verified
ALVG.DE,05-FEB-2002,,End Of Day,,250,251.99,242.15,245.55,1521305,,,Verified
ALVG.DE,06-FEB-2002,,End Of Day,,245,245.35,234,234.54,1710893,,,Verified
ALVG.DE,07-FEB-2002,,End Of Day,,233.1,250.5,230.55,250.39,2425361,,,Verified
ALVG.DE,08-FEB-2002,,End Of Day,,249,256.77,245.81,251.51,1539555,,,Verified
ALVG.DE,09-FEB-2002,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,10-FEB-2002,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,11-FEB-2002,,End Of Day,,255.01,257.5,252.85,257.5,746729,,,Verified
ALVG.DE,12-FEB-2002,,End Of Day,,258.5,261.56,249.5,252.75,1131057,,,Verified
ALVG.DE,13-FEB-2002,,End Of Day,,253.5,257.59,252.3,255.55,841572,,,Verified
ALVG.DE,14-FEB-2002,,End Of Day,,258,261.04,255.6,261,879416,,,Verified
ALVG.DE,15-FEB-2002,,End Of Day,,260.3,260.49,253,254,896681,,,Verified
ALVG.DE,16-FEB-2002,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,17-FEB-2002,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,18-FEB-2002,,End Of Day,,253.5,253.7,250.6,253,442635,,,Verified
ALVG.DE,19-FEB-2002,,End Of Day,,250.9,251.02,243.71,244.5,885449,,,Verified
ALVG.DE,20-FEB-2002,,End Of Day,,243.6,248.47,240.8,248,954559,,,Verified
ALVG.DE,21-FEB-2002,,End Of Day,,251.5,252.5,243,248.85,870529,,,Verified
ALVG.DE,22-FEB-2002,,End Of Day,,245.48,245.5,240.3,243.5,817096,,,Verified
ALVG.DE,23-FEB-2002,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,24-FEB-2002,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,25-FEB-2002,,End Of Day,,244.8,248.4,241.1,248.15,745310,,,Verified
ALVG.DE,26-FEB-2002,,End Of Day,,250.65,252.3,246.33,248.1,811576,,,Verified
ALVG.DE,27-FEB-2002,,End Of Day,,250.1,253.13,248.51,250.8,803288,,,Verified
ALVG.DE,28-FEB-2002,,End Of Day,,248.3,259.97,246,259.97,1192997,,,Verified
ALVG.DE,01-MAR-2002,,End Of Day,,257.9,261,256.21,259.05,782845,,,Verified
ALVG.DE,02-MAR-2002,,End Of Day,No Trades,,,,,,,,Verified
ALVG.DE,03-MAR-2002,,End Of Day,No Trades,,,,,,,,Verified
